image_path,dice_score,,
BraTS2021_00791,2.379433,,
BraTS2021_00623,2.1465123,,
BraTS2021_00300,2.2407737,,
BraTS2021_00510,2.4010832,,
BraTS2021_00466,2.2761064,,
BraTS2021_01266,2.1050208,,
BraTS2021_00049,2.1644247,,
BraTS2021_01523,1.4315771,,
BraTS2021_01591,2.0927289,,
BraTS2021_01086,2.1491296,,
BraTS2021_00352,2.3480065,,
BraTS2021_00588,2.0892818,,
