image_id,dice_score
BraTS2021_01113,tensor(92.9146)
BraTS2021_01389,tensor(95.4341)
BraTS2021_00077,tensor(95.8732)
BraTS2021_01070,tensor(95.1203)
BraTS2021_00249,tensor(97.5567)
BraTS2021_01375,tensor(73.0909)
BraTS2021_01579,tensor(92.2143)
BraTS2021_01481,tensor(67.8330)
BraTS2021_00569,tensor(91.9210)
BraTS2021_00102,tensor(48.1416)
BraTS2021_00823,tensor(93.2446)
BraTS2021_00530,tensor(93.3691)
BraTS2021_01112,tensor(93.9431)
BraTS2021_00143,tensor(72.5415)
BraTS2021_01072,tensor(96.7945)
BraTS2021_01621,tensor(98.1003)
BraTS2021_00524,tensor(96.4162)
BraTS2021_00495,tensor(96.2769)
BraTS2021_00520,tensor(94.4138)
BraTS2021_00494,tensor(89.3738)
BraTS2021_01103,tensor(89.9469)
BraTS2021_01321,tensor(96.5486)
BraTS2021_01427,tensor(92.8303)
BraTS2021_00610,tensor(92.9278)
BraTS2021_00616,tensor(97.0175)
BraTS2021_00338,tensor(63.8084)
BraTS2021_01193,tensor(90.0106)
BraTS2021_01572,tensor(94.3185)
BraTS2021_01519,tensor(51.6161)
BraTS2021_00523,tensor(75.8822)
BraTS2021_01339,tensor(98.1528)
BraTS2021_00789,tensor(97.6125)
BraTS2021_00344,tensor(92.2978)
BraTS2021_00121,tensor(71.7944)
BraTS2021_00291,tensor(94.6029)
BraTS2021_00816,tensor(96.0590)
BraTS2021_01205,tensor(75.9427)
BraTS2021_00773,tensor(94.7461)
BraTS2021_01333,tensor(38.4614)
BraTS2021_00449,tensor(93.8636)
BraTS2021_00234,tensor(92.1325)
BraTS2021_01538,tensor(83.2185)
BraTS2021_01411,tensor(95.1926)
BraTS2021_01280,tensor(97.0398)
BraTS2021_01546,tensor(94.6203)
BraTS2021_00118,tensor(96.8700)
BraTS2021_00286,tensor(93.7221)
BraTS2021_01025,tensor(90.3242)
BraTS2021_00094,tensor(96.5583)
BraTS2021_01240,tensor(74.2306)
BraTS2021_00062,tensor(92.9841)
BraTS2021_00032,tensor(93.4667)
BraTS2021_00621,tensor(56.8151)
BraTS2021_00630,tensor(92.5882)
BraTS2021_00834,tensor(92.9732)
BraTS2021_01032,tensor(88.2517)
BraTS2021_01480,tensor(66.1191)
BraTS2021_00116,tensor(77.3601)
BraTS2021_00051,tensor(94.0033)
BraTS2021_00605,tensor(96.5957)
BraTS2021_01016,tensor(93.7883)
BraTS2021_01430,tensor(82.4397)
BraTS2021_00325,tensor(91.5238)
BraTS2021_00453,tensor(92.3693)
BraTS2021_01629,tensor(89.4695)
BraTS2021_01225,tensor(91.6918)
BraTS2021_00222,tensor(84.4137)
BraTS2021_00054,tensor(90.6511)
BraTS2021_00351,tensor(96.9251)
BraTS2021_00262,tensor(74.3231)
BraTS2021_00602,tensor(89.1447)
BraTS2021_00409,tensor(95.7227)
BraTS2021_01424,tensor(92.7215)
BraTS2021_00288,tensor(93.0037)
BraTS2021_01652,tensor(98.8154)
BraTS2021_01443,tensor(93.6924)
BraTS2021_01056,tensor(93.1231)
BraTS2021_01037,tensor(95.0118)
BraTS2021_00028,tensor(78.7833)
BraTS2021_01122,tensor(97.3324)
BraTS2021_00070,tensor(97.7886)
BraTS2021_01281,tensor(94.1397)
BraTS2021_01403,tensor(96.8975)
BraTS2021_01187,tensor(85.4065)
BraTS2021_00159,tensor(96.8361)
BraTS2021_00586,tensor(93.9907)
BraTS2021_01137,tensor(53.1368)
BraTS2021_01220,tensor(91.5375)
BraTS2021_00261,tensor(97.5713)
BraTS2021_00607,tensor(84.2638)
BraTS2021_01570,tensor(97.1743)
