image_id,dice_score
BraTS2021_00052,tensor(96.3521)
BraTS2021_00262,tensor(81.6698)
BraTS2021_00705,tensor(91.9170)
BraTS2021_00071,tensor(96.4264)
BraTS2021_00480,tensor(97.3877)
BraTS2021_01529,tensor(82.2657)
BraTS2021_00301,tensor(98.6358)
BraTS2021_01088,tensor(85.4923)
BraTS2021_01537,tensor(97.1821)
BraTS2021_00781,tensor(97.3064)
BraTS2021_01259,tensor(92.3432)
BraTS2021_00506,tensor(98.4994)
BraTS2021_01641,tensor(96.4151)
BraTS2021_01193,tensor(92.2844)
BraTS2021_00586,tensor(96.6489)
BraTS2021_01399,tensor(93.7890)
BraTS2021_01551,tensor(63.8687)
BraTS2021_00596,tensor(98.6664)
BraTS2021_00591,tensor(96.7228)
BraTS2021_01619,tensor(96.9211)
BraTS2021_00283,tensor(98.1372)
BraTS2021_01412,tensor(69.5875)
BraTS2021_01139,tensor(91.0597)
BraTS2021_01226,tensor(86.9276)
BraTS2021_01432,tensor(91.2861)
BraTS2021_01601,tensor(97.1329)
BraTS2021_01052,tensor(97.9051)
BraTS2021_00281,tensor(98.5247)
BraTS2021_01234,tensor(87.5910)
BraTS2021_01330,tensor(93.1185)
BraTS2021_01303,tensor(97.3499)
BraTS2021_00203,tensor(97.0019)
BraTS2021_01554,tensor(98.9438)
BraTS2021_00814,tensor(92.1516)
BraTS2021_01646,tensor(60.6974)
BraTS2021_00610,tensor(94.8532)
BraTS2021_01237,tensor(82.6955)
BraTS2021_01182,tensor(62.1911)
BraTS2021_01283,tensor(88.4593)
BraTS2021_00667,tensor(98.8951)
BraTS2021_00143,tensor(89.8773)
BraTS2021_01481,tensor(70.9533)
BraTS2021_01582,tensor(95.8777)
BraTS2021_00657,tensor(98.3207)
BraTS2021_00183,tensor(98.4376)
BraTS2021_00654,tensor(93.6814)
BraTS2021_00089,tensor(94.4751)
BraTS2021_00808,tensor(91.0840)
BraTS2021_00211,tensor(98.4617)
BraTS2021_01040,tensor(94.7274)
BraTS2021_00061,tensor(88.5890)
BraTS2021_01296,tensor(94.1661)
BraTS2021_01656,tensor(58.9430)
BraTS2021_00663,tensor(98.4028)
BraTS2021_01208,tensor(69.3521)
BraTS2021_01174,tensor(94.6412)
BraTS2021_00709,tensor(94.8952)
BraTS2021_01105,tensor(97.4446)
BraTS2021_01060,tensor(98.0660)
BraTS2021_01069,tensor(97.3705)
BraTS2021_01541,tensor(94.3058)
BraTS2021_01539,tensor(96.5299)
BraTS2021_01162,tensor(90.4059)
BraTS2021_00105,tensor(89.6054)
BraTS2021_00809,tensor(97.0536)
BraTS2021_00160,tensor(79.1636)
BraTS2021_00557,tensor(97.7418)
BraTS2021_00805,tensor(92.8421)
BraTS2021_00030,tensor(96.8490)
BraTS2021_01564,tensor(98.1447)
BraTS2021_00688,tensor(96.5858)
BraTS2021_01325,tensor(84.7391)
BraTS2021_01391,tensor(89.4948)
BraTS2021_01446,tensor(90.2223)
BraTS2021_01403,tensor(96.7821)
BraTS2021_01102,tensor(97.2610)
BraTS2021_01107,tensor(90.9282)
BraTS2021_00485,tensor(60.7496)
BraTS2021_00081,tensor(86.7009)
BraTS2021_01278,tensor(82.8238)
BraTS2021_00282,tensor(95.0748)
BraTS2021_01602,tensor(96.1772)
BraTS2021_00193,tensor(94.1042)
BraTS2021_00820,tensor(95.3555)
BraTS2021_01225,tensor(92.8169)
BraTS2021_01319,tensor(97.7597)
BraTS2021_00500,tensor(91.1736)
BraTS2021_00139,tensor(82.5251)
BraTS2021_01653,tensor(96.4431)
BraTS2021_01058,tensor(96.6558)
BraTS2021_01090,tensor(94.5981)
BraTS2021_01425,tensor(84.1441)
BraTS2021_00400,tensor(96.9441)
BraTS2021_01041,tensor(95.8280)
BraTS2021_00689,tensor(98.2112)
BraTS2021_00327,tensor(82.5862)
BraTS2021_01275,tensor(95.1172)
BraTS2021_01093,tensor(96.9062)
BraTS2021_00582,tensor(71.5509)
BraTS2021_01082,tensor(97.4497)
BraTS2021_00191,tensor(97.7536)
BraTS2021_01644,tensor(64.0308)
BraTS2021_01104,tensor(87.2343)
BraTS2021_00058,tensor(84.4860)
BraTS2021_00636,tensor(96.8175)
BraTS2021_01620,tensor(48.6638)
BraTS2021_00675,tensor(92.4042)
BraTS2021_01050,tensor(77.9095)
BraTS2021_01109,tensor(98.1462)
BraTS2021_00750,tensor(98.0300)
BraTS2021_01087,tensor(94.8499)
BraTS2021_01495,tensor(84.8824)
BraTS2021_01421,tensor(92.1348)
BraTS2021_00533,tensor(95.3631)
BraTS2021_00186,tensor(85.8481)
BraTS2021_01132,tensor(96.9744)
